,rollout/ep_len_mean_mean,rollout/ep_len_mean_std,rollout/ep_rew_mean_mean,rollout/ep_rew_mean_std,time/fps_mean,time/fps_std,train/approx_kl_mean,train/approx_kl_std,train/clip_fraction_mean,train/clip_fraction_std,train/clip_range_mean,train/clip_range_std,train/entropy_loss_mean,train/entropy_loss_std,train/explained_variance_mean,train/explained_variance_std,train/learning_rate_mean,train/learning_rate_std,train/loss_mean,train/loss_std,train/policy_gradient_loss_mean,train/policy_gradient_loss_std,train/value_loss_mean,train/value_loss_std,train/std_mean,train/std_std
PPO_1,38.51531867980957,13.789546278987675,38.51531867980957,13.789546278987675,1478.8,292.0598568786885,0.00867789564654231,0.0007375426312544795,0.07729492150247097,0.015608397758820914,0.20000000298023224,0.0,-0.6502085775136948,0.027456563424079827,0.15381766855716705,0.11807499104163227,0.0003000000142492354,0.0,18.777746319770813,9.021234303385574,-0.01607684069313109,0.001405393960974147,52.390668869018555,10.239599843058256,,
PPO_2,40.12974815368652,15.237482171836199,40.12974815368652,15.237482171836199,198.6,19.744366285095097,0.008583161397837102,0.0018751706505019618,0.07906494196504354,0.01726999090234087,0.20000000298023224,0.0,-0.6486358344554901,0.028469673221823772,0.13566149771213531,0.09225816120005334,0.0003000000142492354,0.0,19.59468972682953,10.57844496544251,-0.016324006021022797,0.0015291982743322675,54.51014518737793,12.72589691397685,,
PPO_3,38.99417419433594,14.27390548663212,38.99417419433594,14.27390548663212,211.6,12.2245654319489,0.008181690238416195,0.000986529913660052,0.0738525390625,0.015946121952764448,0.20000000298023224,0.0,-0.6523280441761017,0.026821990635160775,0.12782078981399536,0.08952005464030603,0.0003000000142492354,0.0,20.577426195144653,9.904753066377223,-0.015512117184698582,0.0013134410040048215,53.3588342666626,12.014147390743751,,
PPO_4,39.87613220214844,14.979377469185629,39.87613220214844,14.979377469185629,214.8,12.687001221722964,0.008688310510478914,0.0008665452446810761,0.07976074144244194,0.017882448058499322,0.20000000298023224,0.0,-0.6501268297433853,0.027008727890013243,0.13529415428638458,0.11442593314751558,0.0003000000142492354,0.0,18.434518337249756,12.177443173723978,-0.016953821759670973,0.002472588157522868,53.49161148071289,10.292997877618024,,
PPO_41,114.60212097167968,2.7853503900925656,-218.93617248535156,38.413204266447245,243.8,10.047885349664377,0.004452066379599273,0.0006165350899054995,0.029016113374382257,0.00617394691090769,0.20000000298023224,0.0,-2.869056463241577,0.028844418020994494,-0.016514644026756287,0.025097866625700047,0.0003000000142492354,0.0,336.8286590576172,74.61500249362902,-0.0058725300477817655,0.0018414914124851153,1293.2492218017578,473.8276295296015,1.0202068090438843,0.016344754212538823
PPO_42,114.6911407470703,1.3455253999948156,-173.62318115234376,12.301262571327342,274.2,9.019977827023746,0.006332325283437967,0.0025661924085431994,0.0499267578125,0.02971139086336978,0.20000000298023224,0.0,-2.8555818796157837,0.010350407058721372,-0.002965182065963745,0.005343134129991051,0.0003000000142492354,0.0,485.9694938659668,237.9345070801374,-0.006620368920266628,0.00021530482828416487,1007.6294250488281,370.31783349691455,1.0113612115383148,0.005371342388438416
PPO_43,622.3432796867527,193.01560271725086,68.66448216450458,86.66491911256489,287.2326530612245,8.799753886982876,0.006937649917357494,0.0023818641584082553,0.07112436774415803,0.02690879491542468,0.20000000298023224,0.0,-2.3089620881393307,0.2817875316406009,0.7930668440998577,0.21667268852870045,0.0003000000142492354,0.0,32.95506561846762,89.0207583656193,-0.0032875371243491947,0.0025342379062736004,82.51737617542508,204.28614461948277,0.7796376433040275,0.111248966618002
PPO_10,,,,,211.0,11.696153213770756,0.008455461356788874,0.001096771915235504,0.06927490234375,0.0032193935526325223,0.20000000298023224,0.0,-0.6542211621999741,0.026860980804069446,0.13515757024288177,0.11345466456804998,0.0003000000142492354,0.0,16.207005620002747,7.556637120399604,-0.015233447309583426,0.003219249841144283,50.87984561920166,10.265164765550116,,
PPO_11,,,,,1504.0,287.17938644686876,0.00802788301371038,0.0010432013209933154,0.06988525483757257,0.01879043747818843,0.20000000298023224,0.0,-0.650620311498642,0.02913774907903862,0.15337146818637848,0.1459403950213138,0.0003000000142492354,0.0,16.294620752334595,7.100274471130144,-0.016186762368306518,0.0008604344957018583,49.962727546691895,7.042356728286235,,
PPO_12,,,,,193.6,17.6022725805505,0.00798294018022716,0.0009299906767450043,0.07175293006002903,0.015785782410617177,0.20000000298023224,0.0,-0.6497878730297089,0.02908753141971204,0.10910820960998535,0.07157328397149273,0.0003000000142492354,0.0,17.558907389640808,9.06595808002515,-0.015225986717268825,0.0003326031074813199,54.12356090545654,11.060303810718281,,
PPO_13,,,,,204.8,12.60793400997959,0.007673984044231474,0.0010625366172823199,0.06473388615995646,0.008157759279357774,0.20000000298023224,0.0,-0.6541756242513657,0.025034099290944394,0.13094688951969147,0.11434040183484992,0.0003000000142492354,0.0,16.048648476600647,6.9760303692950245,-0.014617167646065354,0.002479396823527891,53.41687488555908,9.316512921325023,,
PPO_14,,,,,200.6,11.534296684236972,0.009246861794963479,0.0008145022493036641,0.08312988467514515,0.018308610459594872,0.20000000298023224,0.0,-0.6478439420461655,0.030746216820636572,0.15056243538856506,0.11109209952059386,0.0003000000142492354,0.0,16.4085373878479,7.563934033952391,-0.01764455158263445,0.0013484049799786712,51.356300354003906,10.73670113657627,,
PPO_5,,,,,208.6,11.637869220780924,0.010301757138222456,0.00206099484797534,0.09537353366613388,0.02006884557115905,0.20000000298023224,0.0,-0.6450434327125549,0.031063719667734004,0.11713907122612,0.11632638011143807,0.0003000000142492354,0.0,15.110921621322632,7.02720833604007,-0.01927539287135005,0.004050231953377012,49.79532814025879,12.433471729229344,,
PPO_6,,,,,213.2,10.609429767899874,0.009398039081133902,0.0011394905227488246,0.08366699237376451,0.014390863016080982,0.20000000298023224,0.0,-0.6466559171676636,0.03380535240887267,0.1596500277519226,0.12571157125981308,0.0003000000142492354,0.0,16.832642912864685,7.690328815327894,-0.018413625191897154,0.0034633293678599957,51.204376220703125,10.712982252199133,,
PPO_7,,,,,212.6,12.877888025604198,0.008725644089281559,0.0006896482296010028,0.07645263709127903,0.015371610844032348,0.20000000298023224,0.0,-0.6478505581617355,0.030767415503744636,0.147627592086792,0.1072207027554733,0.0003000000142492354,0.0,19.726415991783142,8.423492520559314,-0.016705809626728296,0.0019284621397209433,52.64669322967529,10.088141721416697,,
PPO_8,,,,,211.4,12.93986089569745,0.00869727274402976,0.0014145699571911402,0.08074951265007257,0.023309930466899567,0.20000000298023224,0.0,-0.649016872048378,0.02921114550772118,0.15135426819324493,0.12479395095071434,0.0003000000142492354,0.0,14.990886449813843,7.091518420960542,-0.016669429605826735,0.0033947471830811046,48.74683666229248,9.10855273693972,,
PPO_9,,,,,211.6,10.707007051459339,0.008810076396912336,0.0007661338948029205,0.06911621056497097,0.01647355916534221,0.20000000298023224,0.0,-0.6519941091537476,0.026685089725920767,0.16523578763008118,0.12938348088989804,0.0003000000142492354,0.0,15.701082706451416,7.3966280324347755,-0.014481779653578997,0.0010545761258346567,49.485116958618164,7.435218258252084,,
